ekis_id;0;1;2;3;4;5;6;7;8;9
13799;10313;13861;13695;13661;13906;13791;13738;13381;13765;10319
13391;12915;11948;13630;13367;13057;12708;13715;13949;12863;12933
13213;12891;11500;13232;13310;13170;13493;13120;1306;12474;13849
13020;11948;13481;13367;13715;13439;12927;13057;13390;13717;13260
13619;13825;10325;13688;13426;12224;13880;12821;13384;13361;13684
3811;13536;13390;13204;13020;13717;13810;3815;13521;13260;12863
13122;12826;12654;13697;12708;13288;13654;13742;12915;12584;12619
13836;12993;12891;9431;12434;9615;13667;13949;13673;12821;12215
12635;13737;13728;13757;13808;13655;13714;13221;13906;13246;13833
10141;13765;12830;13688;13718;13662;12844;13189;13673;13906;13017
13917;13836;12891;566;13215;13765;13667;12474;12993;13582;12830
12871;13691;13199;13701;13806;13738;13737;12910;13936;13221;13802
12281;13024;12138;12188;12805;13438;12905;12195;12763;11209;12676
13800;13752;12652;13308;13753;13294;13697;13192;12729;13371;12654
13956;13941;13229;12462;13954;13612;13755;13946;12664;13920;13924
12759;12940;13828;13560;12961;13247;13447;12686;12678;12717;13703
13845;13708;12752;13738;13763;13684;13869;13816;13246;13830;13619
13926;13809;13009;1958;13174;13518;13614;3877;13073;13955;13644
13708;12752;13830;13246;13738;13793;13728;13803;13731;13900;12830
13294;13752;12652;13743;13371;12654;13288;12600;13647;13697;13409
13818;13878;13906;10313;13836;13797;13328;13815;10327;13793;13118
13715;13949;11948;13148;13714;13087;13285;12927;13020;12926;13806
13170;13260;13439;13367;11500;13148;13120;13630;12202;13393;13758
13760;12730;12704;12682;12684;13874;12716;12676;13794;12677;12714
13755;13943;13954;13306;13644;13924;12462;13956;13612;13920;12664
13667;13836;13378;13582;13701;9431;13917;13246;12891;12821;13859
13325;13600;13456;12773;13169;12848;3813;13552;13640;7764;13523
13958;12992;13458;13935;3871;13818;13720;4204;3717;13731;13402
13794;12730;12684;12682;13874;12716;13783;12676;12713;13897;12704
13534;13583;12519;11948;13747;13806;13221;13529;13207;13713;13833
13333;12891;12993;12474;566;13439;12844;9615;11948;13765;13728
13062;13838;12654;13697;13288;13752;13687;13780;13753;13771;13192
